,vdcmun_id,vdcmun_name,new,location_lat,location_long
0,1201,Champadevi Rural Municipality,Champadevi,27.308314250000002,86.30893101616854
10,1202,Chishankhu Gadhi Rural Municipality,Chishankhu,27.317757399999998,86.61886250638298
18,1203,Khiji Demba Rural Municipality,Khiji,27.45601715,86.32202450481151
27,1204,Likhu Rural Municipality,Likhu,27.88714535,85.21682899147578
36,1205,Manebhanjyang Rural Municipality,Manebhanjyang,27.21194545,86.46552476643052
45,1206,Molung Rural Municipality,Molung,27.36632365,86.40918850254235
53,1207,Siddhicharan Municipality,Siddhicharan,27.338975050000002,86.52892495809598
65,1208,Sunkoshi Rural Municipality,Sunkoshi,27.0894567,86.64733182333808
75,2001,Dudhouli Municipality,Dudhouli,27.02495385,86.2145255694841
89,2002,Ghyanglekha Rural Municipality,Ghyanglekha,27.32054225,85.81147602543759
94,2003,Golanjor Rural Municipality,Golanjor,27.2620588,86.05572262287873
101,2004,Hariharpurgaghi Rural Municipality,Hariharpurgaghi,27.2335353,85.49555989978077
109,2005,Kamalamai Municipality,Kamalamai,27.213335,85.915497
123,2006,Marin Rural Municipality,Marin,27.264444,85.733056
130,2007,Phikkal Rural Municipality,Phikkal,27.1851123,86.29769059288631
143,2009,Tinpatan Rural Municipality,Tinpatan,27.13306415,86.13336987469341
154,2101,Doramba Rural Municipality,Doramba,27.546566499999997,85.92071892503884
161,2102,Gokulganga Rural Municipality,Gokulganga,27.58432905,86.27795004558726
167,2103,Khandadevi Rural Municipality,Khandadevi,27.427164400000002,85.91214270984848
176,2104,Likhu Tamakoshi Rural Municipality,Likhu,27.88714535,85.21682899147578
183,2105,Manthali  Municipality,Manthali,27.40927195,86.0528812513445
197,2106,Ramechhap Municipality,Ramechhap,27.32175065,86.12617906663053
206,2107,Sunapati Rural Municipality,Sunapati,27.50652835,85.85948348938282
211,2108,Umakunda Rural Municipality,Umakunda,27.6431344,86.44554700397435
218,2201,Baitedhar Rural Municipality,Baitedhar,27.64,86.15
226,2202,Bhimeshwor Municipality,Bhimeshwor,27.6792304,86.01971138341679
235,2203,Bigu Rural Municipality,Bigu,27.9548695,86.20238515462202
243,2204,Gaurishankar Rural Municipality,Gaurishankar,27.81040175,86.32205896339681
252,2205,Jiri Municipality,Jiri,27.667411450000003,86.27281997422526
261,2206,Kalinchowk Rural Municipality,Kalinchowk,27.6864924,86.0243757
270,2207,Melung Rural Municipality,Melung,27.55281695,86.03426010095801
277,2208,Shailung Rural Municipality,Shailung,27.6389029,85.9630709
285,2209,Tamakoshi Rural Municipality,Tamakoshi,27.5430555,86.1212940192471
292,2301,Bahrabise Municipality,Bahrabise,27.79752475,85.90912949241044
300,2302,Balephi Rural Municipality,Balephi,27.733256,85.7800875
309,2303,Bhotekoshi Rural Municipality,Bhotekoshi,27.932976,85.90581632353909
314,2304,Choutara Sangachowkgadhi Municipality,Choutara,27.7745115,85.72039683634581
328,2305,Helambu Rural Municipality,Helambu,28.00597815,85.5313207660362
335,2306,Indrawoti Rural Municipality,Indrawoti,27.7187497,85.3463315
347,2307,Jugal Rural Municipality,Jugal,28.0033471,85.80604269677883
354,2308,Langtang National Park,Langtang,28.2157564,85.5089756
355,2309,Lisankhu Pakhar Rural Municipality,Lisankhu,27.6535865,85.8452491738658
362,2310,Melanchi Municipality,Melanchi,27.83, 85.56
375,2311,Panchpokhari Thangpal Rural Municipality,Panchpokhari,27.91,85.64
391,2313,Tripurasundari Rural Municipality,Tripurasundari,27.7482014,85.94949867439539
397,2401,Banepa Municipality,Banepa,27.64735905,85.51750837501186
411,2402,Bethanchowk Rural Municipality,Bethanchowk,27.5160012,85.4864738
417,2403,Bhumlu Rural Municipality,Bhumlu,27.62730595,85.7404918621529
427,2404,Chauri Deurali Rural Municipality,Chauri,27.55,85.81
436,2405,Dhulikhel Municipality,Dhulikhel,27.61765065,85.56351523229989
448,2406,Khanikhola Rural Municipality,Khanikhola,27.4284386,85.48846771043137
455,2407,Mahabharat Rural Municipality,Mahabharat,27.3978715,85.62855621551506
475,2409,Namobuddha Municipality,Namobuddha,27.5562733,85.63455070702923
486,2410,Panauti Municipality,Panauti,27.585045,85.516022
498,2411,Panchkhal Municipality,Panchkhal,27.64208775,85.63686759184756
511,2412,Roshi Rural Municipality,Roshi,27.46878035,85.65504112785857
523,2413,Temal Rural Municipality,Temal,27.5111839,85.75307995319801
532,2801,Belkotgadhi Municipality,Belkotgadhi,27.8261946,85.10893098675477
545,2802,Bidur Municipality,Bidur,27.91979945,85.13080277091767
558,2803,Dupcheshwor Rural Municipality,Dupcheshwor,27.9175298,85.2730143
565,2804,Kakani Rural Municipality,Kakani,27.8223196,85.24410689057984
573,2805,Kispang Rural Municipality,Kispang,28.035414250000002,85.10330068799368
585,2808,Myagang Rural Municipality,Myagang,27.975929649999998,85.09622600302589
591,2809,Panchakanya Rural Municipality,Panchakanya,27.890907849999998,85.30126180777873
596,2810,Shivapuri Rural Municipality,Shivapuri,27.84997555,85.36522834819206
604,2811,Suryagadhi Rural Municipality,Suryagadhi,27.9465535,85.2362028228777
609,2812,Tadi Rural Municipality,Tadi,27.96530815,85.33798558891401
615,2813,Tarakeshwor Rural Municipality,Tarakeshwor,27.7827033,85.3010622
621,2901,Aamachhodingmo Rural Municipality,Aamachhodingmo,28.171111, 85.314722
626,2902,Gosaikunda Rural Municipality,Gosaikunda,28.1643332,85.3388638
632,2903,Kalika Rural Municipality,Kalika,27.715037000000002,84.59580511980846
637,2904,Naukunda Rural Municipality,Naukunda,28.019255299999998,85.3005893853054
643,2905,Uttargaya Rural Municipality,Uttargaya,28.07070995,85.1826395151634
648,3001,Benighat Rorang Rural Municipality,Benighat,27.7834662,84.7951205
658,3002,Dhunibenshi Municipality,Dhunibenshi,27.71778265,85.15928364643622
667,3003,Gajuri Rural Municipality,Gajuri,27.750042200000003,84.89745003393844
675,3004,Galchhi Rural Municipality,Galchhi,27.8210177,84.9935902
683,3005,Ganga Jamuna Rural Municipality,Ganga,28.062831,84.918761
690,3006,Jwalamukhi Rural Municipality,Jwalamukhi,27.9197712,84.79266626961603
697,3007,Khaniyabas Rural Municipality,Khaniyabas,28.070889299999997,85.01085676707544
702,3008,Netrawati Dabajong Rural Municipality,Netrawati,27.989134,84.97224832737243
707,3009,Neelakantha Municipality,Neelakantha,27.91,84.94
721,3010,Rubi Valley Rural Municipality,Rubi,28.1766,85.0834
727,3011,Siddhalek Rural Municipality,Siddhalek,27.84689855,84.83674329659797
734,3012,Thakre Rural Municipality,Thakre,27.7369344,85.06357141522783
752,3101,Bagmati Rural Municipality,Bagmati,27.859810850000002,85.39686525407932
761,3102,Bakaiya Rural Municipality,Bakaiya,27.342110050000002,85.20901559356055
773,3103,Bhimphedi Rural Municipality,Bhimphedi,27.53323355,85.11356954840807
782,3104,Hetauda Sub-Metropolitian City,Hetauda,27.4187156,85.01009335459317
801,3105,Indrasarowar Rural Municipality,Indrasarowar,27.601665,85.18710481557471
806,3106,Kailash Rural Municipality,Kailash,27.587778,84.920833
816,3107,Makawanpurgadhi Rural Municipality,Makawanpurgadhi,27.436213600000002,85.11515737733174
824,3108,Manahari Rural Municipality,Manahari,27.4860747,84.85738841918278
834,3110,Raksirang Rural Municipality,Raksirang,27.59116695,84.83065760178758
843,3111,Thaha Municipality,Thaha,27.6440592,85.0983169513
855,3601,Aarughat Rural Municipality,Aarughat,28.11938875,84.8141465711843
865,3602,Ajirkot Rural Municipality,Ajirkot,28.2357608,84.6854821868859
870,3603,Barpak Sulikot Rural Municipality,Barpak,28.202909,84.744514
878,3604,Bhimsen Thapa Rural Municipality,Bhimsen,28.0016586,84.74125569153863
886,3605,Chumanubri Rural Municipality,Chumanubri,28.38121585,84.88932022753625
893,3606,Dharche Rural Municipality,Dharche,28.3131299,84.89560921588716
900,3607,Gandaki Rural Municipality,Gandaki,28.320637599999998,84.40070078289563
908,3608,Gorkha Municipality,Gorkha,27.97749565,84.60585945338437
922,3609,Palungtar Municipality,Palungtar,28.01212315,84.51884372676906
932,3610,Shahid Lakhan Rural Municipality,Shahid,27.927032,84.658404
941,3611,Siranchowk Rural Municipality,Siranchowk,28.0524039,84.58910635000001
